Timestamp,Load Cell 1 (mN),Load Cell 2 (mN)
2025-06-16 15:03:35 CDT,-0.06,-0.07
2025-06-16 15:03:35 CDT,-0.01,0.01
2025-06-16 15:03:35 CDT,0.0,-0.03
2025-06-16 15:03:35 CDT,0.01,-0.03
2025-06-16 15:03:35 CDT,0.0,0.01
2025-06-16 15:03:35 CDT,0.01,0.04
2025-06-16 15:03:35 CDT,0.07,-0.04
2025-06-16 15:03:35 CDT,0.13,-0.04
2025-06-16 15:03:36 CDT,0.16,0.01
2025-06-16 15:03:36 CDT,0.13,0.0
2025-06-16 15:03:36 CDT,0.1,0.1
2025-06-16 15:03:36 CDT,0.1,0.14
2025-06-16 15:03:36 CDT,0.14,0.1
2025-06-16 15:03:36 CDT,0.21,0.0
2025-06-16 15:03:36 CDT,0.27,0.0
2025-06-16 15:03:36 CDT,0.26,0.17
2025-06-16 15:03:36 CDT,0.24,0.24
2025-06-16 15:03:36 CDT,0.23,0.11
2025-06-16 15:03:37 CDT,0.26,-0.04
2025-06-16 15:03:37 CDT,0.3,-0.01
2025-06-16 15:03:37 CDT,0.3,0.06
2025-06-16 15:03:37 CDT,0.27,0.26
2025-06-16 15:03:37 CDT,0.23,0.22
2025-06-16 15:03:37 CDT,0.27,-0.12
2025-06-16 15:03:37 CDT,0.33,-0.12
2025-06-16 15:03:37 CDT,0.34,0.08
2025-06-16 15:03:37 CDT,0.26,0.19
2025-06-16 15:03:37 CDT,0.16,0.3
2025-06-16 15:03:38 CDT,0.19,0.22
2025-06-16 15:03:38 CDT,0.24,0.11
2025-06-16 15:03:38 CDT,0.31,-0.01
2025-06-16 15:03:38 CDT,0.34,0.15
2025-06-16 15:03:38 CDT,0.3,0.25
2025-06-16 15:03:38 CDT,0.27,0.12
2025-06-16 15:03:38 CDT,0.23,0.08
2025-06-16 15:03:38 CDT,0.23,0.01
2025-06-16 15:03:38 CDT,0.26,0.11
2025-06-16 15:03:38 CDT,0.23,0.22
2025-06-16 15:03:39 CDT,0.19,0.4
2025-06-16 15:03:39 CDT,0.14,0.26
2025-06-16 15:03:39 CDT,0.13,0.15
2025-06-16 15:03:39 CDT,0.09,0.04
2025-06-16 15:03:39 CDT,0.09,0.11
2025-06-16 15:03:39 CDT,0.06,0.1
2025-06-16 15:03:39 CDT,0.04,0.22
2025-06-16 15:03:39 CDT,0.07,0.06
2025-06-16 15:03:39 CDT,0.07,-0.1
2025-06-16 15:03:39 CDT,0.07,-0.04
2025-06-16 15:03:40 CDT,0.06,0.07
2025-06-16 15:03:40 CDT,0.0,0.19
2025-06-16 15:03:40 CDT,-0.06,0.22
2025-06-16 15:03:40 CDT,-0.09,0.18
2025-06-16 15:03:40 CDT,-0.04,0.08
2025-06-16 15:03:40 CDT,-0.03,0.21
2025-06-16 15:03:40 CDT,-0.03,0.36
2025-06-16 15:03:40 CDT,-0.03,0.46
2025-06-16 15:03:40 CDT,0.01,0.36
2025-06-16 15:03:40 CDT,-0.03,0.3
2025-06-16 15:03:41 CDT,-0.03,0.25
2025-06-16 15:03:41 CDT,-0.01,0.35
2025-06-16 15:03:41 CDT,-0.04,0.51
2025-06-16 15:03:41 CDT,-0.1,0.48
2025-06-16 15:03:41 CDT,-0.09,0.37
2025-06-16 15:03:41 CDT,-0.06,0.32
2025-06-16 15:03:41 CDT,-0.06,0.36
2025-06-16 15:03:41 CDT,-0.07,0.46
2025-06-16 15:03:41 CDT,-0.13,0.53
2025-06-16 15:03:41 CDT,-0.14,0.54
2025-06-16 15:03:41 CDT,-0.14,0.36
2025-06-16 15:03:42 CDT,-0.16,0.36
2025-06-16 15:03:42 CDT,-0.19,0.41
2025-06-16 15:03:42 CDT,-0.21,0.47
2025-06-16 15:03:42 CDT,-0.19,0.5
2025-06-16 15:03:42 CDT,-0.19,0.43
2025-06-16 15:03:42 CDT,-0.19,0.37
2025-06-16 15:03:42 CDT,-0.1,0.29
2025-06-16 15:03:42 CDT,-0.04,0.46
2025-06-16 15:03:42 CDT,-0.09,0.5
2025-06-16 15:03:42 CDT,-0.13,0.48
2025-06-16 15:03:43 CDT,-0.14,0.33
2025-06-16 15:03:43 CDT,-0.13,0.21
2025-06-16 15:03:43 CDT,-0.13,0.18
2025-06-16 15:03:43 CDT,-0.13,0.3
2025-06-16 15:03:43 CDT,-0.11,0.29
2025-06-16 15:03:43 CDT,-0.09,0.18
2025-06-16 15:03:43 CDT,-0.01,0.06
2025-06-16 15:03:43 CDT,0.03,-0.11
2025-06-16 15:03:43 CDT,0.09,-0.03
2025-06-16 15:03:43 CDT,0.13,0.15
2025-06-16 15:03:44 CDT,0.11,0.17
2025-06-16 15:03:44 CDT,0.14,0.06
2025-06-16 15:03:44 CDT,0.07,-0.19
2025-06-16 15:03:44 CDT,0.07,-0.17
2025-06-16 15:03:44 CDT,-0.04,0.06
2025-06-16 15:03:44 CDT,0.09,0.35
2025-06-16 15:03:44 CDT,-0.07,0.32
2025-06-16 15:03:44 CDT,0.03,0.19
2025-06-16 15:03:44 CDT,0.01,-0.07
2025-06-16 15:03:44 CDT,0.1,0.29
2025-06-16 15:03:45 CDT,0.23,0.86
2025-06-16 15:03:45 CDT,0.3,0.66
2025-06-16 15:03:45 CDT,0.27,0.73
2025-06-16 15:03:45 CDT,0.24,0.33
2025-06-16 15:03:45 CDT,0.27,0.4
2025-06-16 15:03:45 CDT,0.24,0.48
2025-06-16 15:03:45 CDT,0.21,1.02
2025-06-16 15:03:45 CDT,0.13,0.71
2025-06-16 15:03:45 CDT,0.3,0.48
2025-06-16 15:03:45 CDT,0.31,0.22
2025-06-16 15:03:46 CDT,0.4,0.39
2025-06-16 15:03:46 CDT,0.26,0.26
2025-06-16 15:03:46 CDT,0.3,0.68
2025-06-16 15:03:46 CDT,0.14,0.62
2025-06-16 15:03:46 CDT,0.27,-0.19
2025-06-16 15:03:46 CDT,0.29,-0.01
2025-06-16 15:03:46 CDT,0.43,-0.29
2025-06-16 15:03:46 CDT,0.43,0.51
2025-06-16 15:03:46 CDT,0.27,0.36
2025-06-16 15:03:46 CDT,0.21,0.48
2025-06-16 15:03:47 CDT,0.2,0.0
2025-06-16 15:03:47 CDT,0.16,-0.46
2025-06-16 15:03:47 CDT,0.09,-0.01
2025-06-16 15:03:47 CDT,0.14,0.66
2025-06-16 15:03:47 CDT,0.2,0.9
2025-06-16 15:03:47 CDT,0.4,0.65
2025-06-16 15:03:47 CDT,0.36,-0.07
2025-06-16 15:03:47 CDT,0.34,-0.3
2025-06-16 15:03:47 CDT,0.19,-0.22
2025-06-16 15:03:47 CDT,0.03,0.79
2025-06-16 15:03:48 CDT,0.03,0.79
2025-06-16 15:03:48 CDT,0.1,0.18
2025-06-16 15:03:48 CDT,0.27,-0.25
2025-06-16 15:03:48 CDT,0.36,-0.35
2025-06-16 15:03:48 CDT,0.36,0.08
2025-06-16 15:03:48 CDT,0.2,0.62
2025-06-16 15:03:48 CDT,0.13,0.61
2025-06-16 15:03:48 CDT,-0.01,0.1
2025-06-16 15:03:48 CDT,-0.01,-0.21
2025-06-16 15:03:48 CDT,0.01,-0.15
2025-06-16 15:03:49 CDT,0.0,0.25
2025-06-16 15:03:49 CDT,-0.01,0.58
2025-06-16 15:03:49 CDT,0.01,0.61
2025-06-16 15:03:49 CDT,-0.03,-0.12
2025-06-16 15:03:49 CDT,-0.01,-0.21
2025-06-16 15:03:49 CDT,-0.11,0.01
2025-06-16 15:03:49 CDT,-0.13,0.53
2025-06-16 15:03:49 CDT,-0.1,0.76
2025-06-16 15:03:49 CDT,0.07,0.62
2025-06-16 15:03:49 CDT,0.19,0.15
2025-06-16 15:03:49 CDT,0.23,-0.17
2025-06-16 15:03:50 CDT,0.17,0.43
2025-06-16 15:03:50 CDT,-0.04,0.76
2025-06-16 15:03:50 CDT,-0.13,0.66
2025-06-16 15:03:50 CDT,-0.14,0.26
2025-06-16 15:03:50 CDT,0.09,-0.08
2025-06-16 15:03:50 CDT,0.19,-0.06
2025-06-16 15:03:50 CDT,0.31,0.22
2025-06-16 15:03:50 CDT,0.31,0.68
2025-06-16 15:03:50 CDT,0.33,0.37
2025-06-16 15:03:50 CDT,0.29,-0.06
2025-06-16 15:03:51 CDT,0.21,-0.17
2025-06-16 15:03:51 CDT,0.06,0.01
2025-06-16 15:03:51 CDT,-0.07,0.39
2025-06-16 15:03:51 CDT,-0.04,0.55
2025-06-16 15:03:51 CDT,0.14,0.41
2025-06-16 15:03:51 CDT,0.31,-0.28
2025-06-16 15:03:51 CDT,0.3,-0.3
2025-06-16 15:03:51 CDT,0.11,0.03
2025-06-16 15:03:51 CDT,-0.16,0.39
2025-06-16 15:03:51 CDT,-0.14,0.5
2025-06-16 15:03:52 CDT,-0.04,0.14
2025-06-16 15:03:52 CDT,0.23,-0.14
2025-06-16 15:03:52 CDT,0.24,-0.03
2025-06-16 15:03:52 CDT,0.29,0.25
2025-06-16 15:03:52 CDT,0.16,0.5
2025-06-16 15:03:52 CDT,0.16,0.32
2025-06-16 15:03:52 CDT,0.17,-0.04
2025-06-16 15:03:52 CDT,0.24,-0.32
2025-06-16 15:03:52 CDT,0.19,-0.33
2025-06-16 15:03:52 CDT,0.07,0.0
