Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-06-25 18:17:39 CDT,-0.01,0.04,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:40 CDT,0.0,-0.03,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:40 CDT,0.0,0.06,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:40 CDT,0.01,-0.07,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:40 CDT,-0.04,-0.12,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:40 CDT,-0.04,-0.33,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:40 CDT,0.04,-0.46,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:41 CDT,0.01,-0.66,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:41 CDT,0.0,-0.87,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:41 CDT,0.01,-1.11,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:41 CDT,-0.03,-1.2,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:41 CDT,-0.1,-1.12,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:41 CDT,-0.14,-0.97,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:42 CDT,-0.13,-0.95,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:42 CDT,-0.17,-1.22,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:42 CDT,-0.19,-1.29,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:42 CDT,-0.21,-1.22,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:42 CDT,-0.29,-1.44,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:42 CDT,-0.26,-1.45,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:43 CDT,-0.26,-1.48,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:43 CDT,-0.31,-1.48,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:43 CDT,-0.37,-1.3,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:43 CDT,-0.31,-1.15,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:43 CDT,-0.38,-1.09,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:43 CDT,-0.5,-1.08,0.023,8.02,0.0,0.2,0.18
2025-06-25 18:17:44 CDT,-0.43,-0.98,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:44 CDT,-0.44,-0.94,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:44 CDT,-0.48,-0.94,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:44 CDT,-0.47,-0.98,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:44 CDT,-0.47,-1.0,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:44 CDT,-0.56,-1.26,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:45 CDT,-0.63,-1.41,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:45 CDT,-0.58,-1.38,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:45 CDT,-0.61,-1.55,0.023,8.02,0.0,0.17,0.18
2025-06-25 18:17:45 CDT,-0.63,-1.85,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:45 CDT,-0.54,-1.78,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:45 CDT,-0.66,-2.0,0.019,8.02,0.0,0.17,0.15
2025-06-25 18:17:46 CDT,-0.7,-2.35,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:46 CDT,-0.66,-2.43,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:46 CDT,-0.66,-2.65,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:46 CDT,-0.73,-2.82,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:46 CDT,-0.6,-2.99,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:47 CDT,-0.47,-3.21,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:47 CDT,-0.6,-3.29,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:47 CDT,-0.56,-3.33,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:47 CDT,-0.5,-3.07,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:47 CDT,-0.54,-3.0,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:47 CDT,-0.58,-3.19,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:48 CDT,-0.47,-3.07,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:48 CDT,-0.46,-3.01,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:48 CDT,-0.53,-3.0,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:48 CDT,-0.51,-2.82,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:48 CDT,-0.6,-2.94,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:48 CDT,-0.76,-2.88,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:49 CDT,-0.58,0.3,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:49 CDT,6.39,0.3,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:49 CDT,34.93,-8.13,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:49 CDT,93.31,-79.96,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:49 CDT,180.12,-159.51,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:49 CDT,346.34,-358.08,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:50 CDT,530.78,-482.09,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:50 CDT,717.76,-604.88,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:50 CDT,913.84,-735.07,0.02,8.02,0.0,0.2,0.16
2025-06-25 18:17:50 CDT,1109.5,-859.92,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:50 CDT,1293.18,-982.06,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:50 CDT,1460.96,-1097.16,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:51 CDT,1527.56,-1240.26,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:51 CDT,1526.73,-1384.93,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:51 CDT,1534.03,-1522.0,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:51 CDT,1557.87,-1675.9,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:51 CDT,1594.62,-1763.29,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:52 CDT,1675.61,-1823.22,0.023,8.02,0.0,0.2,0.18
2025-06-25 18:17:52 CDT,1822.51,-1947.06,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:52 CDT,1992.47,-2029.62,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:52 CDT,2296.11,-2105.04,0.023,8.02,0.0,0.2,0.18
2025-06-25 18:17:52 CDT,2641.3,-2174.88,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:52 CDT,3009.01,-2129.41,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:53 CDT,3282.74,-2129.41,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:53 CDT,3510.21,-2164.62,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:53 CDT,3733.64,-2206.53,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:53 CDT,4023.28,-2244.08,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:53 CDT,4299.97,-2293.09,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:53 CDT,4527.84,-2334.0,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:54 CDT,4634.6,-2290.19,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:54 CDT,4570.21,-2204.21,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:54 CDT,4570.21,-2091.02,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:54 CDT,4556.47,-1988.27,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:54 CDT,4525.7,-1877.43,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:55 CDT,4481.79,-1834.35,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:55 CDT,4394.22,-1817.04,0.021,8.02,0.0,0.2,0.17
2025-06-25 18:17:55 CDT,4232.77,-1722.19,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:55 CDT,3863.04,-1619.33,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:55 CDT,3423.21,-1498.54,0.021,8.02,0.0,0.17,0.17
2025-06-25 18:17:55 CDT,2881.24,-1370.45,0.02,8.02,0.0,0.17,0.16
2025-06-25 18:17:56 CDT,2385.12,-1246.26,0.02,8.02,0.0,0.17,0.16
