Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-07-02 14:46:47 CDT,1.48,-43.22,0.075,7.59,0.0,0.57,0.57
2025-07-02 14:46:47 CDT,-0.16,-1.0,0.076,7.59,0.0,0.57,0.58
2025-07-02 14:46:48 CDT,0.64,-20.02,0.076,7.59,0.0,0.63,0.58
2025-07-02 14:46:48 CDT,-1.0,-33.14,1.586,6.89,0.0,11.1,10.92
2025-07-02 14:46:48 CDT,-1.0,-8.41,0.066,7.51,0.0,0.5,0.5
2025-07-02 14:46:48 CDT,0.44,-21.73,0.076,7.59,0.0,0.57,0.58
2025-07-02 14:46:48 CDT,1.15,-21.68,0.048,7.59,0.0,0.37,0.36
2025-07-02 14:46:48 CDT,1.38,-25.45,0.184,7.4,0.0,7.5,1.36
2025-07-02 14:46:49 CDT,1.88,-14.68,0.263,7.51,0.0,1.48,1.98
2025-07-02 14:46:49 CDT,2.22,-14.63,0.045,7.59,0.0,0.33,0.34
2025-07-02 14:46:49 CDT,-0.06,-39.88,0.085,7.58,0.0,0.65,0.64
2025-07-02 14:46:49 CDT,0.9,-6.15,0.02,7.61,0.0,0.17,0.15
2025-07-02 14:46:49 CDT,1.08,-23.36,0.083,7.58,0.0,0.63,0.63
2025-07-02 14:46:49 CDT,1.0,-49.48,1.013,7.2,0.0,7.3,7.29
2025-07-02 14:46:50 CDT,3.15,-11.39,0.02,7.61,0.0,0.17,0.15
2025-07-02 14:46:50 CDT,1.75,-33.91,0.074,7.59,0.0,0.57,0.56
2025-07-02 14:46:50 CDT,0.36,-48.21,0.021,7.61,0.0,0.17,0.16
2025-07-02 14:46:50 CDT,0.97,-26.25,2.459,6.63,0.0,16.18,16.3
2025-07-02 14:46:50 CDT,-1.34,-39.37,1.186,7.13,0.0,8.48,8.46
2025-07-02 14:46:50 CDT,-0.27,-41.56,0.036,7.6,0.0,0.27,0.27
2025-07-02 14:46:51 CDT,-1.4,-43.75,0.075,7.59,0.0,0.63,0.57
2025-07-02 14:46:51 CDT,1.57,-46.57,0.044,7.58,0.0,0.33,0.33
2025-07-02 14:46:51 CDT,0.36,-41.65,2.288,6.74,0.0,15.13,15.43
2025-07-02 14:46:51 CDT,-1.25,-44.43,0.081,7.58,0.0,0.63,0.61
2025-07-02 14:46:51 CDT,-2.11,-47.72,0.035,7.6,0.0,0.25,0.27
2025-07-02 14:46:51 CDT,-3.99,-42.15,0.075,7.58,0.0,0.57,0.57
2025-07-02 14:46:52 CDT,-3.22,-49.27,0.021,7.61,0.0,0.17,0.16
2025-07-02 14:46:52 CDT,-3.36,-47.54,3.199,6.1,0.01,20.6,19.52
2025-07-02 14:46:52 CDT,-4.19,-46.66,0.069,7.59,0.0,0.53,0.52
2025-07-02 14:46:52 CDT,-3.06,-45.01,0.035,7.6,0.0,0.25,0.27
2025-07-02 14:46:52 CDT,-4.57,-40.3,0.078,7.58,0.0,0.53,0.59
2025-07-02 14:46:53 CDT,-5.23,-44.65,0.021,7.61,0.0,0.17,0.16
2025-07-02 14:46:53 CDT,-6.73,-73.75,0.449,7.26,0.0,3.35,3.26
2025-07-02 14:46:53 CDT,-7.33,-61.7,0.035,7.6,0.0,0.25,0.27
2025-07-02 14:46:53 CDT,-5.1,-48.9,0.08,7.58,0.0,0.63,0.61
2025-07-02 14:46:53 CDT,-4.05,-76.57,0.078,7.58,0.0,0.63,0.59
2025-07-02 14:46:53 CDT,-2.32,-45.59,0.096,7.59,0.0,0.73,0.73
2025-07-02 14:46:54 CDT,-2.37,-69.92,0.893,7.21,0.0,6.55,6.44
2025-07-02 14:46:54 CDT,-1.5,-66.05,0.035,7.6,0.0,0.25,0.27
2025-07-02 14:46:54 CDT,-1.67,-47.51,0.083,7.58,0.0,0.63,0.63
2025-07-02 14:46:54 CDT,-2.48,-77.14,0.073,7.58,0.0,0.63,0.55
2025-07-02 14:46:54 CDT,-1.03,-51.62,2.404,6.69,0.0,16.1,16.09
