Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-07-02 14:50:08 CDT,0.0,30.59,2.283,6.71,0.0,12.9,15.31
2025-07-02 14:50:08 CDT,1.03,2.81,0.035,7.56,0.0,0.25,0.26
2025-07-02 14:50:08 CDT,-0.03,8.76,2.264,6.38,0.01,22.0,14.44
2025-07-02 14:50:08 CDT,0.1,-0.65,0.08,7.54,0.0,0.63,0.6
2025-07-02 14:50:08 CDT,0.03,27.51,0.953,7.17,0.0,7.0,6.83
2025-07-02 14:50:08 CDT,0.33,30.43,0.036,7.56,0.0,0.27,0.27
2025-07-02 14:50:09 CDT,-0.66,-4.85,0.384,7.25,0.0,2.88,2.78
2025-07-02 14:50:09 CDT,-0.31,7.58,0.081,7.54,0.0,0.63,0.61
2025-07-02 14:50:09 CDT,-0.78,7.17,0.519,7.37,0.0,3.85,3.82
2025-07-02 14:50:09 CDT,-0.66,28.24,0.053,7.55,0.0,0.4,0.4
2025-07-02 14:50:09 CDT,-1.28,27.51,0.459,7.37,0.0,3.4,3.38
2025-07-02 14:50:09 CDT,-2.45,-6.3,0.085,7.53,0.0,0.5,0.64
2025-07-02 14:50:10 CDT,-4.0,18.17,0.528,7.41,0.0,1.8,3.91
2025-07-02 14:50:10 CDT,-1.27,24.66,0.064,7.55,0.0,0.5,0.48
2025-07-02 14:50:10 CDT,-1.38,33.08,0.063,7.54,0.0,0.5,0.48
2025-07-02 14:50:10 CDT,-2.14,30.19,0.148,7.54,0.0,1.1,1.12
2025-07-02 14:50:10 CDT,0.36,-5.97,0.084,7.53,0.0,0.65,0.63
2025-07-02 14:50:10 CDT,-0.38,-18.37,1.094,7.11,0.0,7.78,7.78
2025-07-02 14:50:11 CDT,0.76,-44.86,0.036,7.55,0.0,0.27,0.27
2025-07-02 14:50:11 CDT,-1.4,-40.91,0.911,7.17,0.0,6.55,6.53
2025-07-02 14:50:11 CDT,0.09,-11.63,0.075,7.53,0.0,0.57,0.56
2025-07-02 14:50:11 CDT,1.21,-3.94,0.633,7.45,0.0,4.63,4.72
2025-07-02 14:50:11 CDT,1.44,-30.01,0.02,7.56,0.0,0.17,0.15
2025-07-02 14:50:12 CDT,2.42,-46.13,0.616,7.3,0.0,4.5,4.5
2025-07-02 14:50:12 CDT,1.84,-25.37,0.071,7.53,0.0,0.53,0.53
2025-07-02 14:50:12 CDT,2.79,3.91,0.466,7.26,0.0,3.4,3.38
2025-07-02 14:50:12 CDT,4.33,-0.64,0.061,7.53,0.0,0.45,0.46
2025-07-02 14:50:12 CDT,3.48,-29.97,0.066,7.53,0.0,0.5,0.5
2025-07-02 14:50:12 CDT,2.34,-37.1,0.074,7.53,0.0,0.57,0.56
2025-07-02 14:50:13 CDT,2.54,-13.15,0.113,7.52,0.0,0.85,0.85
2025-07-02 14:50:13 CDT,4.49,1.62,2.095,6.77,0.0,11.75,14.19
2025-07-02 14:50:13 CDT,2.29,-23.93,0.064,7.53,0.0,0.5,0.48
2025-07-02 14:50:13 CDT,1.3,-54.32,1.286,6.97,0.0,9.1,8.97
2025-07-02 14:50:13 CDT,1.45,-48.41,0.079,7.53,0.0,0.63,0.59
2025-07-02 14:50:13 CDT,-0.63,-18.28,0.071,7.53,0.0,0.37,0.53
2025-07-02 14:50:14 CDT,-0.91,-1.16,0.021,7.55,0.0,0.17,0.16
2025-07-02 14:50:14 CDT,-1.2,12.08,0.281,7.54,0.0,2.05,2.12
2025-07-02 14:50:14 CDT,-2.19,3.43,0.075,7.53,0.0,0.57,0.56
2025-07-02 14:50:14 CDT,-0.98,-7.17,0.056,7.53,0.0,0.33,0.42
2025-07-02 14:50:14 CDT,-0.4,-1.67,0.038,7.54,0.0,0.27,0.29
2025-07-02 14:50:14 CDT,-1.14,15.05,0.068,7.53,0.0,0.53,0.51
2025-07-02 14:50:15 CDT,-2.92,41.68,0.074,7.53,0.0,0.57,0.56
2025-07-02 14:50:15 CDT,-0.61,63.41,0.11,7.52,0.0,0.83,0.83
2025-07-02 14:50:15 CDT,-1.85,41.32,1.849,6.85,0.0,12.65,12.66
2025-07-02 14:50:15 CDT,-3.92,8.88,0.064,7.53,0.0,0.5,0.48
2025-07-02 14:50:15 CDT,-2.99,12.91,1.336,6.94,0.0,9.38,9.27
2025-07-02 14:50:15 CDT,-0.78,42.52,0.074,7.52,0.0,0.57,0.56
2025-07-02 14:50:16 CDT,0.9,51.72,0.096,7.5,0.0,0.73,0.72
2025-07-02 14:50:16 CDT,0.44,25.81,0.075,7.52,0.0,0.57,0.56
2025-07-02 14:50:16 CDT,0.46,9.57,0.129,7.5,0.0,0.7,0.97
2025-07-02 14:50:16 CDT,-0.38,29.4,0.073,7.52,0.0,0.53,0.55
2025-07-02 14:50:16 CDT,0.34,57.66,0.165,7.49,0.0,1.23,1.24
