Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-07-02 14:39:18 CDT,-1.75,-22.15,0.078,7.69,0.0,0.63,0.6
2025-07-02 14:39:19 CDT,5.27,-39.29,0.076,7.69,0.0,0.57,0.58
2025-07-02 14:39:19 CDT,1.81,-30.18,0.084,7.69,0.0,0.65,0.65
2025-07-02 14:39:19 CDT,3.96,-14.65,0.096,7.69,0.0,0.73,0.74
2025-07-02 14:39:19 CDT,3.96,-7.52,0.08,7.69,0.0,0.63,0.62
2025-07-02 14:39:19 CDT,1.7,-10.76,0.085,7.69,0.0,0.65,0.65
2025-07-02 14:39:19 CDT,-3.82,-11.47,0.084,7.69,0.0,0.65,0.65
2025-07-02 14:39:20 CDT,2.78,3.51,1.745,6.89,0.0,12.25,12.02
2025-07-02 14:39:20 CDT,1.65,-17.83,0.084,7.69,0.0,0.65,0.65
2025-07-02 14:39:20 CDT,-2.37,-39.87,1.324,7.19,0.0,8.32,9.52
2025-07-02 14:39:20 CDT,-5.23,-32.61,0.09,7.69,0.0,0.7,0.69
2025-07-02 14:39:20 CDT,2.71,-9.14,1.221,7.16,0.0,8.8,8.74
2025-07-02 14:39:20 CDT,-3.49,5.6,0.08,7.69,0.0,0.57,0.62
2025-07-02 14:39:21 CDT,-4.02,-10.44,0.183,7.7,0.0,1.35,1.41
2025-07-02 14:39:21 CDT,-3.99,-10.55,0.086,7.69,0.0,0.65,0.66
2025-07-02 14:39:21 CDT,-0.16,-5.29,0.529,7.53,0.0,3.98,3.98
2025-07-02 14:39:21 CDT,-7.81,-26.61,0.075,7.69,0.0,0.63,0.58
2025-07-02 14:39:21 CDT,-1.41,-30.94,0.738,7.46,0.0,5.53,5.5
2025-07-02 14:39:22 CDT,-1.78,-25.88,0.083,7.69,0.0,0.65,0.64
2025-07-02 14:39:22 CDT,-2.27,-15.87,0.096,7.67,0.0,0.73,0.74
2025-07-02 14:39:22 CDT,-6.74,-23.46,0.075,7.69,0.0,0.57,0.58
2025-07-02 14:39:22 CDT,-4.87,-36.47,0.036,7.71,0.0,0.25,0.28
2025-07-02 14:39:22 CDT,-4.85,-24.4,0.086,7.69,0.0,0.65,0.66
2025-07-02 14:39:22 CDT,-2.04,-17.74,0.08,7.69,0.0,0.65,0.61
2025-07-02 14:39:23 CDT,-4.29,-27.0,0.079,7.69,0.0,0.63,0.61
2025-07-02 14:39:23 CDT,-2.88,-41.06,0.089,7.69,0.0,0.7,0.68
2025-07-02 14:39:23 CDT,-1.25,-34.04,0.084,7.69,0.0,0.7,0.65
2025-07-02 14:39:23 CDT,-3.21,-8.74,0.075,7.69,0.0,0.65,0.58
2025-07-02 14:39:23 CDT,-3.34,-12.79,0.078,7.69,0.0,0.63,0.6
2025-07-02 14:39:23 CDT,-4.97,-31.74,0.086,7.69,0.0,0.65,0.66
2025-07-02 14:39:24 CDT,-1.23,-25.27,0.023,7.71,0.0,0.17,0.18
2025-07-02 14:39:24 CDT,-5.57,-18.91,0.079,7.69,0.0,0.63,0.61
2025-07-02 14:39:24 CDT,-4.7,-26.22,0.078,7.69,0.0,0.57,0.6
2025-07-02 14:39:24 CDT,-8.22,-34.45,0.036,7.71,0.0,0.27,0.28
2025-07-02 14:39:24 CDT,-3.49,-25.41,0.084,7.69,0.0,0.65,0.65
2025-07-02 14:39:24 CDT,-10.18,-23.36,0.081,7.69,0.0,0.63,0.62
2025-07-02 14:39:25 CDT,-7.57,-34.15,0.08,7.69,0.0,0.63,0.62
2025-07-02 14:39:25 CDT,-13.27,-34.84,0.079,7.69,0.0,0.57,0.61
2025-07-02 14:39:25 CDT,-5.46,-20.78,0.08,7.68,0.0,0.63,0.61
2025-07-02 14:39:25 CDT,-12.94,-29.18,0.078,7.69,0.0,0.63,0.6
2025-07-02 14:39:25 CDT,-7.28,-46.98,1.503,6.99,0.0,10.7,10.51
2025-07-02 14:39:25 CDT,-11.94,-38.42,0.083,7.69,0.0,0.65,0.64
2025-07-02 14:39:26 CDT,-3.62,-15.72,1.14,7.25,0.0,7.5,8.26
2025-07-02 14:39:26 CDT,-11.63,-22.19,0.078,7.69,0.0,0.63,0.6
2025-07-02 14:39:26 CDT,-7.37,-41.9,0.273,7.61,0.0,2.1,2.08
2025-07-02 14:39:26 CDT,-10.02,-48.81,0.094,7.69,0.0,0.73,0.72
2025-07-02 14:39:26 CDT,-1.88,-28.92,0.035,7.7,0.0,0.27,0.27
2025-07-02 14:39:27 CDT,-7.33,-23.87,0.083,7.69,0.0,0.63,0.64
2025-07-02 14:39:27 CDT,-3.56,-39.04,0.08,7.67,0.0,0.63,0.61
2025-07-02 14:39:27 CDT,-4.8,-34.48,0.093,7.68,0.0,0.7,0.71
2025-07-02 14:39:27 CDT,1.15,-23.0,0.025,7.71,0.0,0.2,0.19
2025-07-02 14:39:27 CDT,-2.22,-26.35,0.086,7.68,0.0,0.65,0.66
2025-07-02 14:39:27 CDT,0.76,-38.43,0.05,7.7,0.0,0.4,0.38
2025-07-02 14:39:28 CDT,0.04,-27.04,0.091,7.68,0.0,0.7,0.7
2025-07-02 14:39:28 CDT,1.6,-19.87,0.079,7.69,0.0,0.63,0.61
2025-07-02 14:39:28 CDT,0.38,-29.31,0.081,7.69,0.0,0.63,0.62
2025-07-02 14:39:28 CDT,-0.36,-43.62,0.084,7.68,0.0,0.63,0.65
2025-07-02 14:39:28 CDT,-0.48,-28.42,0.084,7.68,0.0,0.65,0.65
2025-07-02 14:39:28 CDT,-2.94,-17.58,0.081,7.69,0.0,0.63,0.62
2025-07-02 14:39:29 CDT,-2.25,-32.81,0.076,7.69,0.0,0.63,0.58
2025-07-02 14:39:29 CDT,-4.89,-47.24,0.036,7.7,0.0,0.27,0.28
2025-07-02 14:39:29 CDT,-2.38,-28.13,0.058,7.7,0.0,0.27,0.45
2025-07-02 14:39:29 CDT,-6.88,-21.83,0.09,7.68,0.0,0.7,0.69
2025-07-02 14:39:29 CDT,-6.23,-26.58,0.075,7.69,0.0,0.57,0.58
2025-07-02 14:39:29 CDT,-9.32,-48.23,0.085,7.68,0.0,0.65,0.65
2025-07-02 14:39:30 CDT,-4.79,-39.63,0.065,7.71,0.0,0.5,0.5
2025-07-02 14:39:30 CDT,-12.07,-33.08,0.075,7.68,0.0,0.57,0.58
2025-07-02 14:39:30 CDT,-10.62,-41.1,0.076,7.69,0.0,0.57,0.58
2025-07-02 14:39:30 CDT,-15.19,-46.02,0.085,7.68,0.0,0.65,0.65
2025-07-02 14:39:30 CDT,-7.81,-31.08,0.15,7.69,0.0,1.1,1.15
2025-07-02 14:39:30 CDT,-15.44,-33.01,0.079,7.68,0.0,0.63,0.61
2025-07-02 14:39:31 CDT,-11.72,-50.51,2.169,6.94,0.0,14.57,15.06
2025-07-02 14:39:31 CDT,-15.69,-42.98,0.084,7.68,0.0,0.65,0.65
2025-07-02 14:39:31 CDT,-8.02,-21.55,0.268,7.61,0.0,1.6,2.04
2025-07-02 14:39:31 CDT,-15.09,-29.6,0.089,7.68,0.0,0.7,0.68
2025-07-02 14:39:31 CDT,-9.56,-49.6,0.113,7.67,0.0,0.85,0.87
2025-07-02 14:39:31 CDT,-12.71,-41.35,0.084,7.68,0.0,0.65,0.64
2025-07-02 14:39:32 CDT,-4.63,-13.19,0.059,7.68,0.0,0.45,0.45
2025-07-02 14:39:32 CDT,-9.63,-19.26,0.095,7.68,0.0,0.57,0.73
2025-07-02 14:39:32 CDT,-5.26,-51.57,0.065,7.69,0.0,0.5,0.5
2025-07-02 14:39:32 CDT,-7.24,-43.34,0.106,7.68,0.0,0.83,0.81
2025-07-02 14:39:32 CDT,-0.93,-30.73,0.1,7.67,0.0,0.95,0.77
2025-07-02 14:39:33 CDT,-5.67,-26.75,0.074,7.68,0.0,0.57,0.57
2025-07-02 14:39:33 CDT,-3.12,-41.43,0.066,7.69,0.0,0.5,0.51
2025-07-02 14:39:33 CDT,-3.93,-35.18,0.085,7.68,0.0,0.65,0.65
2025-07-02 14:39:33 CDT,0.23,-24.88,0.079,7.68,0.0,0.63,0.61
2025-07-02 14:39:33 CDT,-2.02,-31.13,0.081,7.68,0.0,0.63,0.62
2025-07-02 14:39:33 CDT,-2.79,-43.69,0.078,7.68,0.0,0.27,0.6
2025-07-02 14:39:34 CDT,-1.87,-30.75,0.075,7.68,0.0,0.57,0.58
2025-07-02 14:39:34 CDT,-2.71,-22.77,0.08,7.68,0.0,0.63,0.61
2025-07-02 14:39:34 CDT,-3.06,-32.61,0.076,7.69,0.0,0.63,0.58
2025-07-02 14:39:34 CDT,-4.66,-45.9,0.08,7.68,0.0,0.63,0.61
2025-07-02 14:39:34 CDT,-1.62,-26.25,0.089,7.68,0.0,0.5,0.68
2025-07-02 14:39:34 CDT,-6.81,-15.75,0.076,7.68,0.0,0.57,0.58
2025-07-02 14:39:35 CDT,-5.67,-30.94,0.076,7.68,0.0,0.57,0.58
2025-07-02 14:39:35 CDT,-9.45,-41.25,0.08,7.69,0.0,0.37,0.62
2025-07-02 14:39:35 CDT,-5.56,-24.69,0.086,7.68,0.0,0.65,0.66
2025-07-02 14:39:35 CDT,-12.13,-16.35,0.079,7.68,0.0,0.63,0.61
2025-07-02 14:39:35 CDT,-9.65,-32.11,0.078,7.69,0.0,0.63,0.6
2025-07-02 14:39:35 CDT,-14.61,-39.95,0.085,7.68,0.0,0.65,0.65
2025-07-02 14:39:36 CDT,-8.14,-20.68,0.085,7.68,0.0,0.65,0.65
2025-07-02 14:39:36 CDT,-15.29,-14.35,0.079,7.68,0.0,0.63,0.61
2025-07-02 14:39:36 CDT,-12.16,-31.45,2.184,6.85,0.0,12.65,14.95
2025-07-02 14:39:36 CDT,-16.82,-33.61,0.081,7.68,0.0,0.63,0.62
2025-07-02 14:39:36 CDT,-9.83,-19.27,1.226,7.21,0.0,8.85,8.84
2025-07-02 14:39:36 CDT,-17.09,-25.23,0.081,7.68,0.0,0.63,0.62
