Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-07-02 14:58:58 CDT,-0.11,-2.53,1.776,6.5,0.0,11.55,11.54
2025-07-02 14:58:58 CDT,-0.03,-0.19,0.073,7.11,0.0,0.53,0.52
2025-07-02 14:58:58 CDT,-1.37,-1.59,2.105,6.39,0.0,13.48,13.46
2025-07-02 14:58:58 CDT,-2.29,-2.97,0.994,6.75,0.0,6.73,6.71
2025-07-02 14:58:59 CDT,-3.25,-2.18,0.086,7.12,0.0,0.5,0.61
2025-07-02 14:58:59 CDT,-2.07,-5.39,0.895,6.81,0.0,5.73,6.09
2025-07-02 14:58:59 CDT,-2.14,-1.35,0.045,7.13,0.0,0.33,0.32
2025-07-02 14:58:59 CDT,-1.33,-1.84,2.284,6.32,0.0,14.23,14.43
2025-07-02 14:58:59 CDT,0.29,-3.08,0.051,7.13,0.0,0.27,0.36
2025-07-02 14:59:00 CDT,1.68,-1.67,0.063,7.12,0.0,0.45,0.45
2025-07-02 14:59:00 CDT,1.31,2.49,1.628,6.55,0.0,10.65,10.66
2025-07-02 14:59:00 CDT,1.23,0.71,0.049,7.12,0.0,2.43,0.35
2025-07-02 14:59:00 CDT,-0.33,1.53,0.078,7.11,0.0,0.57,0.55
2025-07-02 14:59:00 CDT,-1.03,-1.13,0.324,7.1,0.0,2.3,2.3
2025-07-02 14:59:00 CDT,-0.83,1.35,0.06,7.11,0.0,0.4,0.43
2025-07-02 14:59:01 CDT,-0.83,-0.03,0.803,6.79,0.0,5.5,5.46
2025-07-02 14:59:01 CDT,-1.44,-1.13,0.035,7.13,0.0,0.25,0.25
2025-07-02 14:59:01 CDT,-1.37,-1.73,2.138,6.23,0.0,13.3,13.31
2025-07-02 14:59:01 CDT,-1.58,3.29,0.636,7.12,0.0,4.38,4.53
2025-07-02 14:59:01 CDT,-2.51,1.98,0.06,7.12,0.0,0.25,0.43
2025-07-02 14:59:01 CDT,-2.31,0.76,1.225,6.66,0.0,8.15,8.16
2025-07-02 14:59:02 CDT,-2.39,0.76,0.255,6.99,0.0,1.8,1.78
2025-07-02 14:59:02 CDT,-0.84,0.35,0.083,7.11,0.0,0.53,0.59
2025-07-02 14:59:02 CDT,-1.62,-1.16,0.13,7.07,0.0,0.9,0.92
2025-07-02 14:59:02 CDT,-0.57,-0.33,0.309,7.1,0.0,2.13,2.19
2025-07-02 14:59:02 CDT,-0.63,-1.42,2.11,6.27,0.0,13.3,13.23
2025-07-02 14:59:02 CDT,-0.48,-0.24,0.048,7.1,0.0,0.33,0.34
2025-07-02 14:59:03 CDT,-1.3,-0.46,1.609,6.39,0.0,10.53,10.28
2025-07-02 14:59:03 CDT,-1.13,-2.71,0.023,7.01,0.0,0.17,0.16
2025-07-02 14:59:03 CDT,-1.55,-5.25,0.064,7.1,0.0,0.45,0.45
2025-07-02 14:59:03 CDT,0.06,-5.28,0.824,6.78,0.0,5.58,5.58
2025-07-02 14:59:03 CDT,0.81,-2.86,0.035,7.11,0.0,0.25,0.25
2025-07-02 14:59:03 CDT,0.95,-3.82,1.888,6.27,0.0,11.85,11.83
2025-07-02 14:59:04 CDT,1.15,-7.4,0.048,7.09,0.0,0.33,0.34
2025-07-02 14:59:04 CDT,1.85,-6.44,0.061,7.1,0.0,0.45,0.43
2025-07-02 14:59:04 CDT,1.0,-2.65,1.523,6.55,0.0,10.0,9.98
2025-07-02 14:59:04 CDT,0.58,-4.45,0.275,6.91,0.0,1.88,1.9
2025-07-02 14:59:04 CDT,0.57,-7.06,0.074,7.08,0.0,0.53,0.52
2025-07-02 14:59:04 CDT,1.14,-6.75,0.21,6.93,0.0,1.48,1.46
2025-07-02 14:59:05 CDT,2.35,-3.35,0.063,7.09,0.0,0.45,0.45
2025-07-02 14:59:05 CDT,1.9,-2.24,0.871,6.76,0.0,5.9,5.89
2025-07-02 14:59:05 CDT,2.84,-2.59,0.035,7.09,0.0,0.25,0.25
2025-07-02 14:59:05 CDT,2.39,-2.65,1.875,6.25,0.0,11.73,11.72
2025-07-02 14:59:05 CDT,2.38,-0.84,0.05,7.08,0.0,0.37,0.35
2025-07-02 14:59:05 CDT,1.58,-2.99,0.059,7.09,0.0,0.4,0.42
2025-07-02 14:59:06 CDT,1.21,-2.43,1.909,6.4,0.0,12.2,12.21
2025-07-02 14:59:06 CDT,0.71,-1.02,0.54,6.89,0.0,3.73,3.72
2025-07-02 14:59:06 CDT,2.32,-3.15,0.08,7.07,0.0,0.53,0.57
2025-07-02 14:59:06 CDT,1.58,-3.21,0.421,7.0,0.0,2.95,2.95
2025-07-02 14:59:06 CDT,2.11,-4.8,0.063,7.07,0.0,0.45,0.45
2025-07-02 14:59:06 CDT,2.12,-2.24,1.913,6.21,0.0,15.03,11.87
